Land;Stimmentyp;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE_LINKE;GRÜNE;CSU;Sonstige;dar_FREIE_WAEHLER;dar_BSW
HB;Erststimme;Summe;1956 – 1965;67936;846;16144;20370;11127;1607;5286;10749;;1808;311;
HB;Erststimme;Summe;1955 und früher;81924;909;27295;31618;5698;2292;4546;8471;;1095;184;
HB;Erststimme;m;Summe;167834;1650;38796;43525;30287;4967;18956;22605;;7048;652;
HB;Erststimme;m;2001 – 2007;10919;92;1289;2169;1843;476;2950;1375;;726;44;
HB;Erststimme;m;1991 – 2000;25003;147;3191;5175;4520;1181;4953;4433;;1404;24;
HB;Erststimme;m;1981 – 1990;25941;199;4832;4420;6370;736;3483;4117;;1786;183;
HB;Erststimme;m;1966 – 1980;38524;337;9192;9765;8808;740;2825;5101;;1756;211;
HB;Erststimme;m;1956 – 1965;32665;396;8229;9317;6241;633;2309;4542;;998;155;
HB;Erststimme;m;1955 und früher;34781;480;12063;12679;2505;1202;2436;3038;;377;35;
HB;Erststimme;w;Summe;182532;1636;39877;51742;22351;4697;25452;30682;;6095;1106;
HB;Erststimme;w;2001 – 2007;12245;45;640;2690;755;465;5416;1889;;344;81;
HB;Erststimme;w;1991 – 2000;24150;68;2820;4363;2867;621;7029;5098;;1284;111;
HB;Erststimme;w;1981 – 1990;24214;240;4374;4510;4381;561;3847;5046;;1255;296;
HB;Erststimme;w;1966 – 1980;39510;403;8896;10187;6270;986;4074;7008;;1685;312;
HB;Erststimme;w;1956 – 1965;35271;450;7915;11054;4886;973;2977;6206;;810;156;
HB;Erststimme;w;1955 und früher;47143;429;15232;18939;3192;1090;2110;5433;;717;149;
HB;Zweitstimme;Summe;Summe;350366;2110;71573;80604;52496;12295;51461;54280;;25547;1618;15114
HB;Zweitstimme;Summe;2001 – 2007;23164;97;1594;2866;2573;844;10306;2935;;1948;89;1194
HB;Zweitstimme;Summe;1991 – 2000;49154;69;4951;6235;7236;1940;14280;9202;;5240;90;2803
HB;Zweitstimme;Summe;1981 – 1990;50155;190;8073;6872;10439;1471;8368;8919;;5823;474;3383
HB;Zweitstimme;Summe;1966 – 1980;78034;433;16612;16789;15250;2237;7819;13062;;5833;403;3360
HB;Zweitstimme;Summe;1956 – 1965;67936;426;14746;18071;11343;2160;5866;11345;;3979;345;2569
HB;Zweitstimme;Summe;1955 und früher;81924;895;25597;29770;5656;3644;4822;8817;;2724;217;1805
HB;Zweitstimme;m;Summe;167834;847;35281;36496;30510;6589;21165;24064;;12881;743;7253
HB;Zweitstimme;m;2001 – 2007;10919;72;1021;1506;1838;461;3338;1520;;1160;20;701
HB;Zweitstimme;m;1991 – 2000;25003;55;2676;3216;4521;1319;5824;4425;;2968;71;1466
HB;Zweitstimme;m;1981 – 1990;25941;103;4258;3410;6399;841;3482;4425;;3023;318;1565
HB;Zweitstimme;m;1966 – 1980;38524;195;8425;8214;8957;1106;3342;5566;;2720;203;1438
HB;Zweitstimme;m;1956 – 1965;32665;191;7524;8262;6319;925;2616;4913;;1916;108;1255
HB;Zweitstimme;m;1955 und früher;34781;231;11377;11887;2475;1937;2563;3215;;1095;23;828
HB;Zweitstimme;w;Summe;182532;1263;36292;44108;21986;5706;30296;30216;;12666;875;7861
HB;Zweitstimme;w;2001 – 2007;12245;25;573;1360;735;383;6968;1415;;788;68;493
HB;Zweitstimme;w;1991 – 2000;24150;14;2275;3019;2715;620;8456;4778;;2272;20;1337
